,Title,Year,Genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
11,Top Hat ,1935,Comedy|Musical|Romance,English,USA,Approved,81,1.37,609000.0,3000000.0,Mark Sandrich,Ginger Rogers,Edward Everett Horton,Eric Blore,10,610,172,23.0,824,1000,2,13269,98,66.0,7.8
12,Modern Times ,1936,Comedy|Drama|Family,English,USA,G,87,1.37,1500000.0,163245.0,Charles Chaplin,Paulette Goddard,Stanley Blystone,Fred Malatesta,0,309,8,8.0,352,0,1,143086,211,120.0,8.6
13,The Charge of the Light Brigade ,1936,Action|Adventure|Romance|War,English,USA,Approved,100,1.37,1200000.0,,Michael Curtiz,Errol Flynn,David Niven,Spring Byington,345,843,490,94.0,1621,204,3,3418,52,24.0,7.1
14,Snow White and the Seven Dwarfs ,1937,Animation|Family|Fantasy|Musical,English,USA,Approved,83,1.37,2000000.0,184925485.0,William Cottrell,Adriana Caselotti,Billy Gilbert,Lucille La Verne,0,82,47,31.0,229,0,1,133348,204,145.0,7.7
15,The Prisoner of Zenda ,1937,Adventure|Drama|Romance,English,USA,Approved,101,1.37,,,John Cromwell,David Niven,Mary Astor,Ronald Colman,19,490,185,135.0,1166,337,2,3256,44,7.0,7.8
16,Alexander's Ragtime Band ,1938,Drama|Musical|Romance,English,USA,Approved,106,1.37,2000000.0,,Henry King,Tyrone Power,Don Ameche,John Carradine,85,480,392,300.0,1833,60,2,1381,29,10.0,7.0
17,You Can't Take It with You ,1938,Comedy|Drama|Romance,English,USA,Approved,126,1.37,1644736.0,,Frank Capra,Jean Arthur,Ann Miller,Lionel Barrymore,964,319,302,275.0,1363,0,10,17799,133,51.0,8.0
18,Gone with the Wind ,1939,Drama|History|Romance|War,English,USA,G,226,1.37,3977000.0,198655278.0,Victor Fleming,Hattie McDaniel,George Reeves,Thomas Mitchell,149,503,384,248.0,1862,16000,1,215340,706,157.0,8.2
19,Mr. Smith Goes to Washington ,1939,Comedy|Drama,English,USA,Not Rated,120,1.37,1500000.0,,Frank Capra,Claude Rains,Jean Arthur,Thomas Mitchell,964,607,319,248.0,1573,0,7,77392,245,96.0,8.2
20,The Wizard of Oz ,1939,Adventure|Family|Fantasy|Musical,English,USA,Passed,102,1.37,2800000.0,22202612.0,Victor Fleming,Margaret Hamilton,Terry,Billie Burke,149,695,421,357.0,2509,14000,3,291875,533,213.0,8.1
21,Boom Town ,1940,Adventure|Drama|Romance|Western,English,USA,Passed,119,1.37,1614000.0,,Jack Conway,Hedy Lamarr,Spencer Tracy,Claudette Colbert,6,1000,760,380.0,2555,236,8,2269,34,12.0,7.1
22,Fantasia ,1940,Animation|Family|Fantasy|Music,English,USA,G,120,1.37,2280000.0,76400000.0,James Algar,Leopold Stokowski,Deems Taylor,,11,16,0,,16,3000,0,71321,230,99.0,7.8
23,Pinocchio ,1940,Animation|Family|Fantasy|Musical,English,USA,Approved,88,1.37,2600000.0,84300000.0,Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,3,1000,48,40.0,1178,0,0,90360,147,105.0,7.5
24,Rebecca ,1940,Drama|Film-Noir|Mystery|Thriller,English,USA,Not Rated,130,1.37,1288000.0,,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,13000,1000,991,333.0,2888,0,2,87424,276,144.0,8.2
25,The Blue Bird ,1940,Drama|Family|Fantasy,English,USA,Approved,83,1.37,,,Walter Lang,Spring Byington,Nigel Bruce,Gale Sondergaard,9,94,62,51.0,293,548,1,1047,25,7.0,6.5
26,How Green Was My Valley ,1941,Drama|Family,English,USA,Approved,118,1.37,1250000.0,,John Ford,Roddy McDowall,Walter Pidgeon,Barry Fitzgerald,673,595,176,137.0,1129,0,5,15840,124,74.0,7.8
27,Bambi ,1942,Animation|Drama|Family,English,USA,Approved,70,1.33,,102797150.0,James Algar,Sam Edwards,Donnie Dunagan,Ann Gillis,11,16,12,8.0,63,0,0,94225,136,116.0,7.4
28,Casablanca ,1942,Drama|Romance|War,English,USA,PG,82,1.37,950000.0,,Michael Curtiz,Humphrey Bogart,Claude Rains,Conrad Veidt,345,2000,607,269.0,3442,23000,4,387508,1123,242.0,8.6
29,A Guy Named Joe ,1943,Drama|Fantasy|Romance|War,English,USA,Passed,122,1.37,2627000.0,,Victor Fleming,Spencer Tracy,Esther Williams,Irene Dunne,149,760,675,315.0,2555,116,0,1553,27,9.0,7.0
30,Bathing Beauty ,1944,Comedy|Musical,English,USA,Passed,101,1.37,2361000.0,,George Sidney,Esther Williams,Basil Rathbone,Red Skelton,24,675,659,226.0,1627,144,2,1079,28,8.0,6.5
31,Spellbound ,1945,Film-Noir|Mystery|Romance|Thriller,English,USA,Unrated,95,1.37,1696377.0,,Alfred Hitchcock,Norman Lloyd,Rhonda Fleming,Leo G. Carroll,13000,472,239,82.0,896,0,1,32927,161,97.0,7.6
32,State Fair ,1945,Musical|Romance,English,USA,Approved,100,1.37,,,Walter Lang,Dana Andrews,Jeanne Crain,Frank McHugh,9,188,135,37.0,496,501,2,2756,55,17.0,7.1
33,The Lost Weekend ,1945,Drama|Film-Noir,English,USA,Not Rated,101,1.37,1250000.0,,Billy Wilder,Ray Milland,Jane Wyman,Frank Faylen,0,287,160,66.0,581,0,4,24959,136,97.0,8.0
34,The Valley of Decision ,1945,Drama,English,USA,Passed,119,1.37,2160000.0,,Tay Garnett,Jessica Tandy,Greer Garson,Lionel Barrymore,10,509,284,275.0,1490,68,0,1314,29,7.0,7.5
35,Duel in the Sun ,1946,Drama|Romance|Western,English,USA,Unrated,144,1.37,8000000.0,20400000.0,King Vidor,Joseph Cotten,Lillian Gish,Jennifer Jones,54,469,436,332.0,2037,403,0,6304,87,32.0,6.9
36,It's a Wonderful Life ,1946,Drama|Family|Fantasy|Romance,English,USA,PG,118,1.37,3180000.0,,Frank Capra,Donna Reed,Lionel Barrymore,Thomas Mitchell,964,488,275,248.0,1844,41000,0,275720,706,206.0,8.6
37,The Best Years of Our Lives ,1946,Drama|Romance|War,English,USA,Not Rated,172,1.37,2100000.0,23650000.0,William Wyler,Myrna Loy,Teresa Wright,Dana Andrews,355,749,208,188.0,1941,0,5,40359,235,97.0,8.1
38,Gentleman's Agreement ,1947,Drama|Romance,English,USA,Approved,118,1.37,2000000.0,,Elia Kazan,Dean Stockwell,Celeste Holm,John Garfield,603,936,297,167.0,1846,0,3,10791,113,61.0,7.4
39,The Lady from Shanghai ,1947,Crime|Drama|Film-Noir|Mystery|Thriller,English,USA,Not Rated,92,1.37,2300000.0,7927.0,Orson Welles,Rita Hayworth,Everett Sloane,Ted de Corsia,0,1000,29,18.0,1055,0,1,19236,175,90.0,7.7
40,Tycoon ,1947,Adventure|Drama|Romance,English,USA,Approved,95,1.37,3209000.0,,Richard Wallace,Judith Anderson,Paul Fix,Laraine Day,5,197,116,100.0,538,44,1,989,23,9.0,6.2
41,Open Secret ,1948,Crime|Drama,English,USA,Approved,68,1.37,,,John Reinhardt,Sheldon Leonard,John Ireland,Arthur O'Connell,2,142,86,75.0,354,10,3,67,9,1.0,7.1
42,Red River ,1948,Action|Adventure|Romance|Western,English,USA,Approved,126,1.37,3000000.0,,Howard Hawks,Montgomery Clift,Walter Brennan,Harry Carey Jr.,393,862,376,281.0,2269,0,0,21316,162,91.0,7.8
43,The Pirate ,1948,Adventure|Comedy|Musical|Romance,English,USA,Approved,102,1.37,3700000.0,2956000.0,Vincente Minnelli,Gladys Cooper,Reginald Owen,Ellen Ross,136,89,78,48.0,282,359,0,3258,54,41.0,7.1
44,Sands of Iwo Jima ,1949,Action|Drama|Romance|War,English,USA,Approved,109,1.37,1000000.0,,Allan Dwan,James Brown,Richard Jaeckel,Forrest Tucker,23,183,102,88.0,510,624,0,7346,69,40.0,7.2
45,She Wore a Yellow Ribbon ,1949,Western,English,USA,Unrated,103,1.37,1600000.0,,John Ford,Harry Carey Jr.,Ben Johnson,Victor McLaglen,673,281,230,89.0,955,721,1,11920,90,55.0,7.4
46,Annie Get Your Gun ,1950,Biography|Comedy|Musical|Romance|Western,English,USA,Passed,107,1.37,3768785.0,8000000.0,George Sidney,Keenan Wynn,Howard Keel,Betty Hutton,24,277,244,83.0,731,456,0,3167,90,21.0,7.0
47,A Streetcar Named Desire ,1951,Drama,English,USA,PG,125,1.37,1800000.0,,Elia Kazan,Marlon Brando,Karl Malden,Kim Hunter,603,10000,416,114.0,10570,5000,0,78454,233,94.0,8.0
48,Quo Vadis ,1951,Biography|Drama|History|Romance,English,USA,Passed,171,1.37,7623000.0,,Mervyn LeRoy,Peter Ustinov,Deborah Kerr,Robert Taylor,54,440,426,346.0,1373,1000,0,9808,90,54.0,7.2
49,Show Boat ,1951,Drama|Family|Musical|Romance,English,USA,Approved,108,1.33,2295429.0,,George Sidney,Agnes Moorehead,Ava Gardner,Howard Keel,24,960,715,244.0,2329,438,3,3538,46,14.0,7.0
50,Deadline - U.S.A. ,1952,Crime|Drama|Film-Noir,English,USA,,87,1.37,,,Richard Brooks,Humphrey Bogart,Jim Backus,Kim Hunter,174,2000,399,114.0,2831,169,0,1756,28,27.0,7.2
51,High Noon ,1952,Thriller|Western,English,USA,PG,85,1.37,750000.0,,Fred Zinnemann,Gary Cooper,Lloyd Bridges,Lon Chaney Jr.,160,998,575,433.0,2496,3000,0,80193,333,153.0,8.1
52,Singin' in the Rain ,1952,Comedy|Musical|Romance,English,USA,Approved,103,1.37,2540800.0,,Stanley Donen,Rita Moreno,Debbie Reynolds,Cyd Charisse,134,804,786,390.0,2510,0,0,150020,568,169.0,8.3
53,The Greatest Show on Earth ,1952,Drama|Family|Romance,English,USA,Not Rated,152,1.37,4000000.0,36000000.0,Cecil B. DeMille,Gloria Grahame,Dorothy Lamour,Cornel Wilde,309,232,178,132.0,825,625,0,9456,107,44.0,6.7
54,From Here to Eternity ,1953,Drama|Romance|War,English,USA,Not Rated,118,1.37,1650000.0,,Fred Zinnemann,Montgomery Clift,Donna Reed,Deborah Kerr,160,862,488,426.0,2247,0,5,33987,150,101.0,7.8
55,Niagara ,1953,Crime|Film-Noir|Thriller,English,USA,Approved,92,1.37,1250000.0,,Henry Hathaway,Joseph Cotten,Jean Peters,Will Wright,83,469,79,48.0,683,1000,0,11047,116,74.0,7.1
56,"The Beast from 20,000 Fathoms ",1953,Adventure|Horror|Sci-Fi,English,USA,Approved,80,1.37,210000.0,5000000.0,Eugène Lourié,Kenneth Tobey,Cecil Kellaway,Ross Elliott,7,57,40,21.0,205,465,0,4812,88,67.0,6.7
57,The Robe ,1953,Drama|History,English,USA,Unrated,135,2.2,5000000.0,36000000.0,Henry Koster,Richard Burton,Jean Simmons,Victor Mature,28,726,422,275.0,1920,0,1,6359,69,42.0,6.8
58,"20,000 Leagues Under the Sea ",1954,Adventure|Drama|Family|Fantasy|Sci-Fi,English,USA,Approved,127,1.37,5000000.0,,Richard Fleischer,James Mason,Robert J. Wilke,Paul Lukas,130,617,53,51.0,799,0,0,22123,108,69.0,7.2
59,"20,000 Leagues Under the Sea ",1954,Adventure|Drama|Family|Fantasy|Sci-Fi,English,USA,Approved,127,1.37,5000000.0,,Richard Fleischer,James Mason,Robert J. Wilke,Paul Lukas,130,618,53,51.0,800,0,0,22124,108,69.0,7.2
60,On the Waterfront ,1954,Crime|Drama|Romance,English,USA,Not Rated,108,1.85,910000.0,9600000.0,Elia Kazan,Marlon Brando,Karl Malden,Rod Steiger,603,10000,416,279.0,11094,0,2,100890,281,134.0,8.2
61,Seven Samurai ,1954,Action|Adventure|Drama,Japanese,Japan,Unrated,202,1.37,2000000.0,269061.0,Akira Kurosawa,Takashi Shimura,Minoru Chiaki,Kamatari Fujiwara,0,304,8,4.0,338,11000,6,229012,596,153.0,8.7
62,The Egyptian ,1954,Drama|History,English,USA,Approved,139,2.55,5000000.0,,Michael Curtiz,Gene Tierney,Peter Ustinov,Jean Simmons,345,535,440,422.0,2112,376,0,2498,67,15.0,6.6
63,Ordet ,1955,Drama|Fantasy,Danish,Denmark,Not Rated,126,1.37,,,Carl Theodor Dreyer,Hanne Aagesen,Sylvia Eckhausen,Ejner Federspiel,147,0,0,0.0,0,863,0,9903,49,54.0,8.1
64,The Trouble with Harry ,1955,Comedy|Mystery|Romance,English,USA,Approved,99,1.5,1200000.0,,Alfred Hitchcock,Jerry Mathers,John Forsythe,Royal Dano,13000,282,255,232.0,1041,0,0,24891,150,73.0,7.2
65,Love Me Tender ,1956,Drama|Romance|Western,English,USA,,89,2.35,1000000.0,,Robert D. Webb,James Drury,Neville Brand,Debra Paget,0,356,110,102.0,831,365,1,2636,36,39.0,6.2
66,Moby Dick ,1956,Adventure|Drama,English,USA,Unrated,115,1.66,4500000.0,,John Huston,Royal Dano,Richard Basehart,James Robertson Justice,1000,232,169,68.0,588,0,0,13474,115,42.0,7.4
67,Trapeze ,1956,Drama|Romance,English,USA,Approved,105,2.35,4000000.0,,Carol Reed,Gina Lollobrigida,Katy Jurado,Sidney James,82,746,119,69.0,986,283,0,3102,35,20.0,6.8
68,12 Angry Men ,1957,Crime|Drama,English,USA,Not Rated,96,1.66,350000.0,,Sidney Lumet,Jack Warden,Lee J. Cobb,John Fiedler,0,359,259,253.0,1433,40000,1,447785,888,177.0,8.9
69,The Bridge on the River Kwai ,1957,Adventure|Drama|War,English,UK,PG,161,2.35,3000000.0,27200000.0,David Lean,William Holden,Sessue Hayakawa,Jack Hawkins,767,682,119,87.0,1035,0,2,149444,273,122.0,8.2
70,Cat on a Hot Tin Roof ,1958,Drama|Romance,English,USA,Approved,108,1.85,3000000.0,,Richard Brooks,Burl Ives,Judith Anderson,Jack Carson,174,253,197,110.0,649,0,0,33741,141,70.0,8.1
71,Solomon and Sheba ,1959,Drama|History|Romance|War,English,USA,,141,2.2,5000000.0,,King Vidor,Gina Lollobrigida,George Sanders,Finlay Currie,54,746,333,70.0,1332,270,2,2017,33,14.0,6.2
72,Some Like It Hot ,1959,Comedy|Music|Romance,English,USA,Not Rated,120,1.66,2883848.0,25000000.0,Billy Wilder,Nehemiah Persoff,Joe E. Brown,George Raft,0,105,103,102.0,527,10000,2,175196,350,181.0,8.3
73,The Nun's Story ,1959,Drama,English,USA,Not Rated,149,1.78,3500000.0,,Fred Zinnemann,Colleen Dewhurst,Peter Finch,Beatrice Straight,160,157,139,75.0,646,930,0,7071,83,25.0,7.6
74,Elmer Gantry ,1960,Drama,English,USA,Approved,146,1.66,3000000.0,,Richard Brooks,Shirley Jones,Jean Simmons,Edward Andrews,174,556,422,125.0,1444,808,1,7998,81,42.0,7.9
75,Psycho ,1960,Horror|Mystery|Thriller,English,USA,R,108,1.85,806947.0,32000000.0,Alfred Hitchcock,Janet Leigh,Vera Miles,John Gavin,13000,606,332,285.0,1885,18000,2,422432,1040,290.0,8.5
76,The Apartment ,1960,Comedy|Drama|Romance,English,USA,Approved,125,2.35,3000000.0,,Billy Wilder,Fred MacMurray,Ray Walston,David White,0,516,417,180.0,1328,0,2,109335,241,183.0,8.3
77,Judgment at Nuremberg ,1961,Drama|War,English,USA,Not Rated,186,1.75,3000000.0,,Stanley Kramer,Maximilian Schell,Montgomery Clift,Spencer Tracy,176,877,862,760.0,3847,0,0,44457,176,73.0,8.3
78,Pocketful of Miracles ,1961,Comedy|Drama,English,USA,Approved,136,2.35,2900000.0,,Frank Capra,Ann-Margret,Glenn Ford,Thomas Mitchell,964,931,416,248.0,2167,612,2,4313,40,21.0,7.3
79,The Hustler ,1961,Drama|Sport,English,USA,Unrated,134,2.35,2000000.0,,Robert Rossen,George C. Scott,Jackie Gleason,Murray Hamilton,31,654,491,366.0,2290,0,1,62860,167,100.0,8.0
80,The Misfits ,1961,Drama|Romance|Western,English,USA,Approved,120,1.66,4000000.0,,John Huston,Montgomery Clift,Kevin McCarthy,Thelma Ritter,1000,862,403,268.0,1652,0,2,12981,121,70.0,7.4
81,West Side Story ,1961,Crime|Drama|Musical|Romance|Thriller,English,USA,Unrated,152,2.2,6000000.0,43650000.0,Jerome Robbins,Rita Moreno,George Chakiris,Richard Beymer,34,804,271,249.0,1802,0,0,71919,316,120.0,7.6
82,Dr. No ,1962,Action|Adventure|Thriller,English,UK,Approved,110,1.37,1100000.0,16067035.0,Terence Young,Ursula Andress,Jack Lord,Lois Maxwell,92,650,275,177.0,1421,5000,4,116642,389,184.0,7.3
83,Lawrence of Arabia ,1962,Adventure|Biography|Drama|History|War,English,UK,PG,227,2.2,15000000.0,6000000.0,David Lean,Claude Rains,José Ferrer,Jack Hawkins,767,607,202,87.0,1076,11000,8,192775,559,181.0,8.4
84,Lolita ,1962,Crime|Drama|Romance,English,UK,Not Rated,152,1.66,2000000.0,,Stanley Kubrick,James Mason,Shelley Winters,Lois Maxwell,0,617,367,177.0,1403,0,0,67822,207,103.0,7.7
85,Lolita ,1962,Crime|Drama|Romance,English,UK,Not Rated,152,1.66,2000000.0,,Stanley Kubrick,James Mason,Shelley Winters,Lois Maxwell,0,618,367,177.0,1404,0,0,67825,207,103.0,7.7
86,The Brain That Wouldn't Die ,1962,Horror|Sci-Fi,English,USA,Approved,70,1.66,62000.0,,Joseph Green,Virginia Leith,Jason Evers,Bruce Kerr,2,24,16,6.0,52,1000,1,4752,152,95.0,4.1
87,The Longest Day ,1962,Action|Drama|History|War,English,USA,G,178,2.35,10000000.0,,Ken Annakin,Richard Burton,Richard Beymer,Eddie Albert,19,726,249,196.0,1554,0,3,43270,192,53.0,7.8
88,The Man Who Shot Liberty Valance ,1962,Drama|Western,English,USA,Approved,113,1.85,3200000.0,,John Ford,Lee Marvin,Woody Strode,Vera Miles,673,756,423,332.0,2693,0,1,53741,214,107.0,8.1
89,To Kill a Mockingbird ,1962,Crime|Drama,English,USA,Not Rated,129,1.85,2000000.0,,Robert Mulligan,Robert Duvall,Brock Peters,William Windom,89,3000,226,161.0,3833,15000,0,215086,471,127.0,8.4
90,55 Days at Peking ,1963,Action|Adventure|Drama|History|War,English,USA,Unrated,154,2.2,9000000.0,,Nicholas Ray,Ava Gardner,David Niven,John Ireland,117,715,490,86.0,1567,419,3,4550,50,15.0,6.8
91,Cleopatra ,1963,Biography|Drama|History|Romance,English,UK,Approved,251,2.2,31115000.0,57750000.0,Joseph L. Mankiewicz,Martin Landau,Richard Burton,Roddy McDowall,311,940,726,595.0,2957,0,2,21554,192,72.0,7.0
92,Donovan's Reef ,1963,Adventure|Comedy|Romance,English,USA,Not Rated,109,1.85,2686585.0,,John Ford,Lee Marvin,Cesar Romero,Jack Warden,673,756,370,359.0,1949,573,1,5786,65,27.0,6.9
93,From Russia with Love ,1963,Action|Adventure|Thriller,English,UK,Approved,115,1.37,2000000.0,24800000.0,Terence Young,Robert Shaw,Daniela Bianchi,Lois Maxwell,92,559,201,177.0,1456,0,0,89403,358,167.0,7.5
94,Hud ,1963,Drama,English,USA,Approved,112,2.35,2500000.0,,Martin Ritt,Patricia Neal,Melvyn Douglas,Whit Bissell,58,617,189,124.0,1141,1000,0,15277,120,65.0,7.9
95,"It's a Mad, Mad, Mad, Mad World ",1963,Action|Adventure|Comedy|Crime,English,USA,Approved,197,2.76,9400000.0,46300000.0,Stanley Kramer,Jonathan Winters,Sid Caesar,Spencer Tracy,176,924,898,760.0,4109,0,0,29323,344,61.0,7.6
96,The Great Escape ,1963,Adventure|Drama|History|Thriller|War,English,USA,Approved,172,2.35,4000000.0,,John Sturges,James Coburn,Donald Pleasence,Gordon Jackson,120,773,742,145.0,1785,8000,0,165638,301,111.0,8.3
97,Tom Jones ,1963,Adventure|Comedy|History,English,UK,Unrated,121,1.37,1000000.0,,Tony Richardson,Albert Finney,Susannah York,Hugh Griffith,62,883,269,69.0,1371,328,1,8508,56,30.0,6.8
98,A Fistful of Dollars ,1964,Action|Drama|Western,Italian,Italy,R,99,2.35,200000.0,3500000.0,Sergio Leone,Clint Eastwood,Gian Maria Volontè,Aldo Sambrell,0,16000,360,93.0,16534,0,1,147566,235,122.0,8.0
99,A Hard Day's Night ,1964,Comedy|Musical,English,UK,Approved,87,1.75,560000.0,515005.0,Richard Lester,Paul McCartney,Ringo Starr,George Harrison,44,785,725,704.0,2538,0,1,31429,219,105.0,7.7
100,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,Comedy,English,USA,PG,95,1.66,1800000.0,,Stanley Kubrick,George C. Scott,Slim Pickens,Keenan Wynn,0,654,575,277.0,1991,18000,0,342585,839,192.0,8.5
101,Goldfinger ,1964,Action|Adventure|Thriller,English,UK,Approved,110,1.37,3000000.0,51100000.0,Guy Hamilton,Honor Blackman,Gert Fröbe,Lois Maxwell,82,387,202,177.0,1198,0,2,139432,418,164.0,7.8
102,Mary Poppins ,1964,Comedy|Family|Fantasy|Musical,English,USA,Approved,139,1.66,6000000.0,102300000.0,Robert Stevenson,Ed Wynn,Glynis Johns,Elsa Lanchester,55,382,279,266.0,2045,0,2,107408,259,145.0,7.8
103,My Fair Lady ,1964,Drama|Family|Musical|Romance,English,USA,Approved,170,2.2,17000000.0,72000000.0,George Cukor,Jeremy Brett,Rex Harrison,Theodore Bikel,165,453,272,244.0,1164,0,1,66959,258,82.0,7.9
104,Nothing But a Man ,1964,Drama|Romance,English,USA,Not Rated,95,,160000.0,12438.0,Michael Roemer,Yaphet Kotto,Gloria Foster,Ivan Dixon,0,581,99,87.0,835,363,1,891,26,24.0,8.1
105,The Fall of the Roman Empire ,1964,Drama|History|War,English,USA,Approved,172,2.2,19000000.0,,Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,75,617,134,102.0,1131,560,0,6156,91,30.0,6.7
106,The Train ,1964,Thriller|War,English,France,Unrated,133,1.66,6700000.0,,John Frankenheimer,Jeanne Moreau,Paul Scofield,Michel Simon,287,343,94,28.0,502,0,0,10119,124,64.0,7.9
107,Une Femme Mariée ,1964,Drama,French,France,,94,1.37,120000.0,,Jean-Luc Godard,Philippe Leroy,Macha Méril,Rita Maiden,0,12,7,5.0,27,187,0,1962,10,36.0,7.4
108,A Charlie Brown Christmas ,1965,Animation|Comedy|Family,English,USA,TV-G,25,1.33,150000.0,,Bill Melendez,Peter Robbins,Bill Melendez,Christopher Shea,36,39,36,27.0,139,0,0,21826,126,43.0,8.4
109,Doctor Zhivago ,1965,Drama|Romance|War,English,USA,PG-13,200,2.35,11000000.0,111722000.0,David Lean,Julie Christie,Klaus Kinski,Geraldine Chaplin,767,597,396,382.0,1966,7000,2,55816,255,89.0,8.0
110,Major Dundee ,1965,Adventure|War|Western,English,USA,Approved,152,2.35,3800000.0,14873.0,Sam Peckinpah,James Coburn,Slim Pickens,Warren Oates,541,773,575,288.0,2888,251,2,5294,67,53.0,6.8
111,Pierrot le Fou ,1965,Crime|Drama|Romance,French,France,Not Rated,110,2.35,300000.0,,Jean-Luc Godard,Jean-Paul Belmondo,Anna Karina,Graziella Galvani,0,710,257,0.0,967,2000,1,19386,74,96.0,7.7
112,The Greatest Story Ever Told ,1965,Biography|Drama|History,English,USA,G,225,2.76,20000000.0,8000000.0,George Stevens,Martin Landau,Carroll Baker,José Ferrer,126,940,208,202.0,1934,1000,6,6484,100,27.0,6.6
113,The Party's Over ,1965,Drama,English,UK,,94,1.37,,,Guy Hamilton,Oliver Reed,Eddie Albert,Louise Sorel,82,694,196,47.0,964,32,1,340,7,12.0,7.3
114,The Sound of Music ,1965,Biography|Drama|Family|Musical|Romance,English,USA,G,174,2.35,8200000.0,163214286.0,Robert Wise,Eleanor Parker,Angela Cartwright,Nicholas Hammond,338,354,209,195.0,1495,15000,3,148172,406,119.0,8.0
115,Thunderball ,1965,Action|Adventure|Thriller,English,UK,Approved,130,2.35,9000000.0,63600000.0,Terence Young,Desmond Llewelyn,Earl Cameron,Lois Maxwell,92,244,189,177.0,1164,0,1,82073,275,129.0,7.0
116,A Funny Thing Happened on the Way to the Forum ,1966,Comedy|Musical,English,USA,Approved,99,1.85,2000000.0,,Richard Lester,Buster Keaton,Zero Mostel,Phil Silvers,44,907,164,137.0,1807,805,0,6804,72,25.0,7.0
117,A Man for All Seasons ,1966,Biography|Drama|History,English,UK,Approved,120,1.66,2000000.0,,Fred Zinnemann,Robert Shaw,Susannah York,Paul Scofield,160,559,269,94.0,1238,2000,0,23713,167,62.0,7.9
118,Batman: The Movie ,1966,Adventure|Comedy|Family,English,USA,Approved,105,1.85,1377800.0,,Leslie H. Martinson,Burgess Meredith,Cesar Romero,Burt Ward,7,1000,370,356.0,2658,0,1,22975,155,53.0,6.5
119,Harper ,1966,Action|Crime|Drama|Mystery|Thriller,English,USA,Not Rated,121,2.35,3500000.0,,Jack Smight,Janet Leigh,Robert Wagner,Shelley Winters,22,606,481,367.0,2402,470,1,5941,74,22.0,7.0
